frase_id,Frase,Nombre,Link,Cat1
0,Un amigo es uno que lo sabe todo de ti y a pesar de ello te quiere.,Elbert Hubbard,https://es.wikipedia.org/wiki/Elbert_Hubbard,SENTIMIENTOS
1,"Si sientes que todo perdió su sentido, siempre habrá un ¨te quiero¨, siempre habrá un amigo.",Emerson,https://es.wikipedia.org/wiki/Emerson,SENTIMIENTOS
2,"La amistad es más difícil y más rara que el amor. Por eso, hay que salvarla como sea.",Alberto Moravia,https://es.wikipedia.org/wiki/Alberto_Moravia,SENTIMIENTOS
3,Ama hasta que te duela. Si te duele es buena señal.,Madre Teresa de Calcuta,https://es.wikipedia.org/wiki/Teresa_de_Calcuta,SENTIMIENTOS
4,"Un hermano puede no ser un amigo, pero un amigo será siempre un hermano.",Demetrio de Falero,https://es.wikipedia.org/wiki/Demetrio_de_Falero,SENTIMIENTOS
5,"Te amo para amarte y no para ser amado, puesto que nada me place tanto como verte a ti feliz.",George Sand,https://es.wikipedia.org/wiki/George_Sand,SENTIMIENTOS
6,"En un beso, sabrás todo lo que he callado.",Pablo Neruda,https://es.wikipedia.org/wiki/Pablo_Neruda,SENTIMIENTOS
7,"No olvides nunca que el primer beso no se da con la boca, sino con los ojos.",O. K. Bernhardt Escritor alemán.,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=O.+K.+Bernhardt+Escritor+alem%C3%A1n.&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
8,"Cuando mi voz calle con la muerte, mi corazón te seguirá hablando.",Rabindranath Tagore,https://es.wikipedia.org/wiki/Rabindranath_Tagore,SENTIMIENTOS
9,La amistad es un alma que habita en dos cuerpos; un corazón que habita en dos almas.,Aristóteles,https://es.wikipedia.org/wiki/Arist%C3%B3teles,SENTIMIENTOS
10,El amor es: el dolor de vivir lejos del ser amado.,Anónimo,https://es.wikipedia.org/wiki/Seudonimato_y_anonimato,SENTIMIENTOS
11,El que busca un amigo sin defectos se queda sin amigos.,Proverbio turco,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+turco&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
12,Uno está enamorado cuando se da cuenta de que otra persona es única.,Jorge Luis Borges,https://es.wikipedia.org/wiki/Jorge_Luis_Borges,SENTIMIENTOS
13,"Por muy larga que sea la tormenta, el sol siempre vuelve a brillar entre las nubes.",Khalil Gibran,https://es.wikipedia.org/wiki/Yibr%C3%A1n_Jalil_Yibr%C3%A1n,SENTIMIENTOS
14,"El verdadero amor es como los espíritus: todos hablan de ellos, pero pocos los han visto.",François de La Rochefoucauld,https://es.wikipedia.org/wiki/Fran%C3%A7ois_de_La_Rochefoucauld,SENTIMIENTOS
15,Los verdaderos amigos se tienen que enfadar de vez en cuando.,Louis Pasteur,https://es.wikipedia.org/wiki/Louis_Pasteur,PENSAMIENTO Y RAZÓN
16,La posibilidad de realizar un sueño es lo que hace que la vida sea interesante.,Paulo Coelho,https://es.wikipedia.org/wiki/Paulo_Coelho,SENTIMIENTOS
17,"Amar no es solamente querer, es sobre todo comprender.",Françoise Sagan,https://es.wikipedia.org/wiki/Fran%C3%A7oise_Sagan,TIEMPO
18,"Lo pasado ha huido, lo que esperas está ausente, pero el presente es tuyo.",Proverbio árabe,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+%C3%A1rabe&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
19,"Lo bueno de los años es que curan heridas, lo malo de los besos es que crean adicción.",Joaquín Sabina,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Sabina,SENTIMIENTOS
20,Ni la ausencia ni el tiempo son nada cuando se ama.,Alfred de Musset,https://es.wikipedia.org/wiki/Alfred_de_Musset,SENTIMIENTOS
21,"La verdadera amistad es como la fosforescencia, resplandece mejor cuando todo se ha oscurecido.",Rabindranath Tagore,https://es.wikipedia.org/wiki/Rabindranath_Tagore,SENTIMIENTOS
22,Los amigos que tienes y cuya amistad ya has puesto a prueba / engánchalos a tu alma con ganchos de acero.,William Shakespeare,https://es.wikipedia.org/wiki/William_Shakespeare,SENTIMIENTOS
23,La amistad duplica las alegrías y divide las angustias por la mitad.,Sir Francis Bacon,https://es.wikipedia.org/wiki/Francis_Bacon,NATURALEZA
24,"Cuando la vida te presente razones para llorar, demuéstrale que tienes mil y una razones para reír.",Anónimo,https://es.wikipedia.org/wiki/Seudonimato_y_anonimato,SENTIMIENTOS
25,"El que ha conocido sólo a su mujer y la ha amado, sabe más de mujeres que el que ha conocido mil.",Leon Tolstoi,https://es.wikipedia.org/wiki/Le%C3%B3n_Tolst%C3%B3i,SENTIMIENTOS
26,El más difícil no es el primer beso sino el último.,Paul Géraldy,https://es.wikipedia.org/wiki/Paul_G%C3%A9raldy,SENTIMIENTOS
27,"Lo que hoy siente tu corazón, mañana lo entenderá tu cabeza.",Anónimo,https://es.wikipedia.org/wiki/Seudonimato_y_anonimato,SENTIMIENTOS
28,La señal de que no amamos a alguien es que no le damos todo lo mejor que hay en nosotros.,Paul Claudel,https://es.wikipedia.org/wiki/Paul_Claudel,PENSAMIENTO Y RAZÓN
29,Nunca desistas de un sueño. Sólo trata de ver las señales que te lleven a él.,Paulo Coelho,https://es.wikipedia.org/wiki/Paulo_Coelho,SENTIMIENTOS
30,Amar no es mirarse el uno al otro; es mirar juntos en la misma dirección.,Antoine de Saint-Exupéry,https://es.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,SENTIMIENTOS
31,"El hombre y la mujer han nacido para amarse, pero no para vivir juntos. Los amantes célebres de la historia vivieron siempre separados.",Noel Clarasó,https://es.wikipedia.org/wiki/Noel_Claras%C3%B3,SENTIMIENTOS
32,Todos somos muy ignorantes. Lo que ocurre es que no todos ignoramos las mismas cosas.,Albert Einstein,https://es.wikipedia.org/wiki/Albert_Einstein,SENTIMIENTOS
33,Amar es encontrar en la felicidad de otro tu propia felicidad.,Gottfried Leibniz,https://es.wikipedia.org/wiki/Gottfried_Leibniz,SENTIMIENTOS
34,Conocer el amor de los que amamos es el fuego que alimenta la vida.,Pablo Neruda,https://es.wikipedia.org/wiki/Pablo_Neruda,SENTIMIENTOS
35,El verdadero amigo es aquel que a pesar de saber como eres te quiere.,Anónimo,https://es.wikipedia.org/wiki/Seudonimato_y_anonimato,SENTIMIENTOS
36,Felicidad no es hacer lo que uno quiere sino querer lo que uno hace.,Jean Paul Sartre,https://es.wikipedia.org/wiki/Jean-Paul_Sartre,SENTIMIENTOS
37,"Las cartas de amor se escriben empezando sin saber lo que se va a decir, y se terminan sin saber lo que se ha dicho.",Jean Jacques Rousseau,https://es.wikipedia.org/wiki/Jean-Jacques_Rousseau,SENTIMIENTOS
38,La gente se arregla todos los días el cabello. ¿Por qué no el corazón?,Proverbio chino,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+chino&go=Go&ns0=1&ns100=1&ns104=1,NATURALEZA
39,Quien habla mal de mí a mis espaldas mi culo contempla.,Winston Churchill,https://es.wikipedia.org/wiki/Winston_Churchill,NATURALEZA
40,Si lo que vas a decir no es más bello que el silencio: no lo digas.,Proverbio árabe,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+%C3%A1rabe&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
41,Un beso legal nunca vale tanto como un beso robado.,Guy de Maupassant,https://es.wikipedia.org/wiki/Guy_de_Maupassant,SENTIMIENTOS
42,Es más fácil quedar bien como amante que como marido; porque es más fácil ser oportuno e ingenioso de vez en cuando que todos los días.,Honoré de Balzac,https://es.wikipedia.org/wiki/Honor%C3%A9_de_Balzac,SENTIMIENTOS
43,"La mayor declaración de amor es la que no se hace; el hombre que siente mucho, habla poco.",Platón,https://es.wikipedia.org/wiki/Plat%C3%B3n,MISCELÁNEA
44,"La primera vez que me engañes, será culpa tuya; la segunda vez, la culpa será mía.",Proverbio árabe,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+%C3%A1rabe&go=Go&ns0=1&ns100=1&ns104=1,ARTE
45,"Un libro abierto es un cerebro que habla; cerrado un amigo que espera; olvidado, un alma que perdona; destruido, un corazón que llora.",Proverbio hindú,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+hind%C3%BA&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
46,"El alma que hablar puede con los ojos, también puede besar con la mirada.",Gustavo Adolfo Bécquer,https://es.wikipedia.org/wiki/Gustavo_Adolfo_B%C3%A9cquer,SENTIMIENTOS
47,Amistad que acaba no había comenzado.,Publio Siro,https://es.wikipedia.org/wiki/Publilio_Siro,TIEMPO
48,"El futuro tiene muchos nombres. Para los débiles es lo inalcanzable. Para los temerosos, lo desconocido. Para los valientes es la oportunidad.",Victor Hugo,https://es.wikipedia.org/wiki/Victor_Hugo,SENTIMIENTOS
49,"La felicidad es interior, no exterior; por lo tanto, no depende de lo que tenemos, sino de lo que somos.",Henry Van Dyke,https://es.wikipedia.org/wiki/Henry_van_Dyke,CUALIDADES
50,"El ignorante afirma, el sabio duda y reflexiona.",Aristóteles,https://es.wikipedia.org/wiki/Arist%C3%B3teles,SENTIMIENTOS
51,"Hay que escuchar a la cabeza, pero dejar hablar al corazón.",Marguerite Yourcenar,https://es.wikipedia.org/wiki/Marguerite_Yourcenar,SENTIMIENTOS
52,"En el corazón de todos los inviernos vive una primavera palpitante, y detrás de cada noche, viene una aurora sonriente.",Khalil Gibran,https://es.wikipedia.org/wiki/Yibr%C3%A1n_Jalil_Yibr%C3%A1n,CUALIDADES
53,Quien no comprende una mirada tampoco comprenderá una larga explicación.,Proverbio árabe,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+%C3%A1rabe&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
54,"Cuando quieres realmente una cosa, todo el Universo conspira para ayudarte a conseguirla.",Paulo Coelho,https://es.wikipedia.org/wiki/Paulo_Coelho,CUALIDADES
55,La paciencia es un árbol de raíz amarga pero de frutos muy dulces.,Proverbio persa,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+persa&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
56,Puede uno amar sin ser feliz; puede uno ser feliz sin amar; pero amar y ser feliz es algo prodigioso.,Honoré de Balzac,https://es.wikipedia.org/wiki/Honor%C3%A9_de_Balzac,CUALIDADES
57,"Si te caes siete veces, levántate ocho.",Proverbio chino,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+chino&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
58,Sólo una cosa vuelve un sueño imposible: el miedo a fracasar.,Paulo Coelho,https://es.wikipedia.org/wiki/Paulo_Coelho,SENTIMIENTOS
59,"El que es celoso, no es nunca celoso por lo que ve; con lo que se imagina basta.",Jacinto Benavente,https://es.wikipedia.org/wiki/Jacinto_Benavente,SENTIMIENTOS
60,Quien bien te quiere te hará llorar.,Refrán,https://es.wikipedia.org/wiki/Refr%C3%A1n,SENTIMIENTOS
61,"Al primer amor se le quiere más, a los otros se les quiere mejor.",Antoine de Saint-Exupéry,https://es.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,SENTIMIENTOS
62,"Duda que sean fuego las estrellas, duda que el sol se mueva, duda que la verdad sea mentira, pero no dudes jamás de que te amo.",William Shakespeare,https://es.wikipedia.org/wiki/William_Shakespeare,CUALIDADES
63,Las grandes almas tienen voluntades; las débiles tan solo deseos.,Proverbio chino,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+chino&go=Go&ns0=1&ns100=1&ns104=1,SENTIMIENTOS
64,"Ama como puedas, ama a quien puedas, ama todo lo que puedas. No te preocupes de la finalidad de tu amor.",Amado Nervo,https://es.wikipedia.org/wiki/Amado_Nervo,SENTIMIENTOS
65,"Cuando se habla de estar enamorado como un loco se exagera; en general, se está enamorado como un tonto.",Noel Clarasó,https://es.wikipedia.org/wiki/Noel_Claras%C3%B3,SENTIMIENTOS
66,"No existe el amor, sino las pruebas de amor, y la prueba de amor a aquel que amamos es dejarlo vivir libremente.",Anónimo,https://es.wikipedia.org/wiki/Seudonimato_y_anonimato,SENTIMIENTOS
